Items Report,,,,,
"Jul 3, 2024 12:00 AM - Jul 3, 2025 11:59 PM",,,,,
"Requested on: Sep 25, 2025 2:35 PM",,,,,
Filters: Item Type = Revenue Items,,,,,
,,,,,
Revenue Classes: All,,,,,
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders.",,,,,
,,,,,
Gross Sales,"$311,825.05 ",,,,
Net Sales,"$286,856.09 ",,,,
,,,,,
Revenue Class Name,Gross Sales,Net Sales,Discounts,Refunds,% Net Sales
Food,"$124,139.69 ","$117,163.66 ","($6,961.53)",($14.50),40.84%
NAB,"$76,905.25 ","$64,666.72 ","($12,238.53)",$0.00 ,22.54%
Beer,"$61,316.35 ","$59,328.94 ","($1,980.66)",($6.75),20.68%
Tent Food,"$34,254.25 ","$32,899.69 ","($1,354.56)",$0.00 ,11.47%
RTD/Seltzers,"$12,222.01 ","$11,581.17 ",($640.84),$0.00 ,4.04%
Merchandise,"$2,682.00 ",$910.40 ,($28.06),"($1,743.54)",0.32%
Wine,$305.50 ,$305.50 ,$0.00 ,$0.00 ,0.11%
,,,,,
TOTAL,"$311,825.05 ","$286,856.09 ","($23,204.17)","($1,764.79)",100%